종목코드,종목명
A050890,쏠리드
A050960,수산아이앤티
A051160,지어소프트
A051360,토비스
A051370,인터플렉스
A051380,피씨디렉트
A051390,YW
A051490,나라엠앤디
A051500,CJ프레시웨이
A051600,한전KPS
A051630,진양화학
A051780,큐로홀딩스
A051900,LG생활건강
A051910,LG화학
A051980,중앙첨단소재
A052020,에스티큐브
A052220,iMBC
A052260,현대바이오랜드
A052300,오션인더블유
A052330,코텍
A052400,코나아이
A052420,오성첨단소재
A052460,아이크래프트
A052600,한네트
A052670,제일바이오
A052690,한전기술
A052710,아모텍
A052770,아이톡시
A052790,액토즈소프트
A052860,아이앤씨
A052900,KX하이텍
A052960,태양3C
A053030,바이넥스
A053050,지에스이
A053060,세동
A053080,케이엔솔
A053160,프리엠스
A053260,금강철강
A053270,구영테크
A053280,예스24
A053290,NE능률
A053300,한국정보인증
A053350,이니텍
A053450,세코닉스
A053580,웹케시
A053610,프로텍
A053620,태양
A053690,한미글로벌
A053700,삼보모터스
A053800,안랩
A053950,경남제약
A053980,오상자이엘
A054040,한국컴퓨터
A054050,농우바이오
A054090,삼진엘앤디
A054180,메디콕스
A054210,이랜텍
A054220,비츠로시스
A054300,팬스타엔터프라이즈
A054410,케이피티유
A054450,텔레칩스
A054540,삼영엠텍
A054620,APS
A054670,대한뉴팜
A054780,키이스트
A054800,아이디스홀딩스
A054920,한컴위드
A054930,유신
A054940,엑사이엔씨
A054950,제이브이엠
A055490,테이팩스
A055550,신한지주
A056080,유진로봇
A056090,시지메드텍
A056190,에스에프에이
A056360,코위버
A056700,신화인터텍
A056730,CNT85
A057030,YBM넷
A057050,현대홈쇼핑
A057540,옴니시스템
A057680,티사이언티픽
A058110,멕아이씨에스
A058400,KNN
A058430,포스코스틸리온
A058450,한주에이알티
A058470,리노공업
A058610,에스피지
A058630,엠게임
A058650,세아홀딩스
A058730,다스코
A058820,CMG제약
A058850,KTcs
A058860,KTis
A058970,엠로
A059090,미코
A059100,아이컴포넌트
A059120,아진엑스텍
A059180,엔더블유시
A059210,메타바이오메드
A059270,해성에어로보틱스
A060150,인선이엔티
A060230,제이케이시냅스
A060240,스타코링크
A060250,NHN KCP
A060260,뉴보텍
A060280,큐렉소
A060310,3S
A060370,LS마린솔루션
A060380,동양에스텍
A060480,국일신동
A060540,에스에이티
A060560,HC홈센타
A060570,드림어스컴퍼니
A060590,씨티씨바이오
A060720,KH바텍
A060850,영림원소프트랩
A060900,에이전트AI
A060980,HL홀딩스
A061040,알에프텍
A061090,세나테크놀로지
A061250,화일약품
A061970,LB세미콘
A062040,산일전기
A062970,한국첨단소재
A063080,컴투스홀딩스
A063160,종근당바이오
A063170,서울옥션
A063440,SM Life Design
A063570,NICE인프라
A063760,이엘피
A064090,인크레더블버즈
A064240,홈캐스트
A064260,다날
A064290,인텍플러스
A064350,현대로템
A064400,LG씨엔에스
A064480,브리지텍
A064520,테크엘
A064550,바이오니아
A064760,티씨케이
A064800,포니링크
A064820,케이프
A064850,에프앤가이드
A064960,SNT모티브
A065060,지엔코
A065130,탑엔지니어링
A065150,대산F&B
A065170,비엘팜텍
A065350,신성델타테크
A065370,위세아이텍
A065420,에스아이리소스
A065440,이루온
A065450,빅텍
A065500,오리엔트정공
A065510,휴비츠
A065530,와이어블
A065570,삼영이엔씨
A065650,하이퍼코퍼레이션
A065660,안트로젠
A065680,우주일렉트로
A065690,파커스
A065710,서호전기
A065770,CS
A065950,웰크론
A066130,하츠
A066310,큐에스아이
A066360,체리부로
A066410,버킷스튜디오
A066430,아이로보틱스
A066570,LG전자
A066590,우수AMS
A066620,국보디자인
A066670,디티씨
A066700,테라젠이텍스
A066790,씨씨에스
A066830,제노텍
A066900,디에이피
A066910,손오공
A066970,엘앤에프
A066980,한성크린텍
A067000,조이시티
A067010,이씨에스
A067080,대화제약
A067160,SOOP
A067170,오텍
A067280,멀티캠퍼스
A067290,JW신약
A067310,하나마이크론
A067370,선바이오
A067390,아스트
A067570,엔브이에이치코리아
A067630,HLB생명과학
A067730,로지시스
A067770,세진티에스
A067830,세이브존I&C
A067900,와이엔텍
A067920,이글루
A067990,도이치모터스
A068050,팬엔터테인먼트
A068100,케이웨더
A068240,다원시스
A068270,셀트리온
A068290,삼성출판사
A068330,일신바이오
A068760,셀트리온제약
A068790,DMS
A068930,디지털대성
A068940,셀피글로벌
A069080,웹젠
A069140,누리플랜
A069330,유아이디
A069410,엔텔스
A069460,대호에이엘
A069510,에스텍
A069540,빛과전자
A069620,대웅제약
A069640,한세엠케이
A069730,DSR제강
A069920,엑시온그룹
A069960,현대백화점
A070300,엑스큐어
A070590,한솔인티큐브
A070960,모나용평
A071050,한국금융지주
A071090,하이스틸
A071200,인피니트헬스케어
A071280,로체시스템즈
A071320,지역난방공사
A071670,에이테크솔루션
A071840,롯데하이마트
A071850,캐스텍코리아
A071950,코아스
A071970,HD현대마린엔진
A072020,중앙백신
A072130,유엔젤
A072470,우리산업홀딩스
A072710,농심홀딩스
A072770,멤레이비티
A072870,메가스터디
A072950,빛샘전자
A072990,에이치시티
A073010,케이에스피
A073110,엘엠에스
A073190,듀오백
A073240,금호타이어
A073490,이노와이어리스
A073540,에프알텍
A073560,우리손에프앤지
A073570,리튬포어스
A073640,테라사이언스
A074430,아미노로직스
A074600,원익QnC
A074610,이엔플러스
A075130,플랜티넷
A075180,새론오토모티브
A075580,세진중공업
A075970,동국알앤에스
A076080,웰크론한텍
A076340,지에이이노더스
A076610,해성옵틱스
A077360,덕산하이메탈
A077500,유니퀘스트
A077970,STX엔진
A078000,텔코웨어
A078020,LS증권
A078070,유비쿼스홀딩스
A078130,국일제지
A078140,대봉엘에스
A078150,HB테크놀러지
A078160,메디포스트
A078340,컴투스
A078350,한양디지텍
A078520,에이블씨엔씨
A078590,휴림에이텍
A078600,대주전자재료
A078860,스테이지원엔터
A078890,가온그룹
A078930,GS
A079000,와토스코리아
A079160,CJ CGV
A079170,한창산업
A079190,케스피온
A079370,제우스
A079430,현대리바트
A079550,LIG넥스원
A079650,서산
A079810,디이엔티
A079900,전진건설로봇
A079940,가비아
A079950,인베니아
A079960,동양이엔피
A079970,투비소프트
A079980,휴비스
A080010,이상네트웍스
A080160,모두투어
A080220,제주반도체
A080420,모다이노칩
A080470,성창오토텍
A080520,오디텍
A080530,코디
A080580,오킨스전자
A080720,한국유니온제약
A081000,일진다이아
A081150,티플랙스
A081180,쎄크
A081580,성우전자
A081660,미스토홀딩스
A082210,옵트론텍
A082270,젬백스
A082640,동양생명
A082660,코스나인
A082740,한화엔진
A082800,비보존 제약
A082850,우리바이오
A082920,비츠로셀
A083310,엘오티베큠
A083420,그린케미칼
A083450,GST
A083470,이엠앤아이
A083500,에프엔에스테크
A083550,케이엠
A083640,인콘
A083650,비에이치아이
A083660,CSA 코스믹
A083790,CG인바이츠
A083930,아바코
A084010,대한제강
A084110,휴온스글로벌
A084180,수성웹툰
A084370,유진테크
A084440,유비온
A084650,랩지노믹스
A084670,동양고속
A084680,이월드
A084690,대상홀딩스
A084730,팅크웨어
A084850,아이티엠반도체
A084990,헬릭스미스
A085310,엔케이
A085620,미래에셋생명
A085660,차바이오텍
A085670,뉴프렉스
A085810,알티캐스트
A085910,네오티스
A086040,바이오톡스텍
A086060,진바이오텍
A086220,광동헬스바이오
A086280,현대글로비스
A086390,유니테스트
A086450,동국제약
A086520,에코프로
A086670,비엠티
A086710,선진뷰티사이언스
A086790,하나금융지주
A086820,바이오솔루션
A086890,이수앱지스
A086900,메디톡스
A086960,MDS테크
A086980,쇼박스
A087010,펩트론
A087260,모바일어플라이언스
A087600,픽셀플러스
A088130,동아엘텍
A088260,이리츠코크렙
A088280,쏘닉스
A088290,이원컴포텍
A088340,유라클
A088350,한화생명
A088390,이녹스
A088790,진도
A088800,에이스테크
A088910,동우팜투테이블
A088980,맥쿼리인프라
A089010,켐트로닉스
A089030,테크윙
A089140,넥스턴앤롤코리아
A089150,케이씨티
A089230,THE E&M
A089470,HDC현대EP
A089590,제주항공
A089600,KT나스미디어
A089790,제이티
A089850,유비벨록스
A089860,롯데렌탈
A089890,코세스
A089970,브이엠
A089980,상아프론테크
A090080,평화산업
A090150,아이윈
A090350,노루페인트
A090360,로보스타
A090370,메타랩스
A090410,덕신이피씨
A090430,아모레퍼시픽
A090460,비에이치
A090470,제이스텍
